"id","NumDots","SubdomainLevel","PathLevel","UrlLength","NumDash","NumDashInHostname","AtSymbol","TildeSymbol","NumUnderscore","NumPercent","NumQueryComponents","NumAmpersand","NumHash","NumNumericChars","NoHttps","RandomString","IpAddress","DomainInSubdomains","DomainInPaths","HttpsInHostname","HostnameLength","PathLength","QueryLength","DoubleSlashInPath","NumSensitiveWords","EmbeddedBrandName","PctExtHyperlinks","PctExtResourceUrls","ExtFavicon","InsecureForms","RelativeFormAction","ExtFormAction","AbnormalFormAction","PctNullSelfRedirectHyperlinks","FrequentDomainNameMismatch","FakeLinkInStatusBar","RightClickDisabled","PopUpWindow","SubmitInfoToEmail","IframeOrFrame","MissingTitle","ImagesOnlyInForm","SubdomainLevelRT","UrlLengthRT","PctExtResourceUrlsRT","AbnormalExtFormActionR","ExtMetaScriptLinkRT","PctExtNullSelfRedirectHyperlinksRT","CLASS_LABEL"
"20","1","0","0","19","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","10","0","0","0","0","0","0.044642857142857","0.028368794326241","1","0","1","0","0","0.0625","0","0","0","0","0","0","0","0","0","-1","1","0","0","1","0"
"21","2","1","0","26","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","17","0","0","0","0","0","0.027210884353741","0.088235294117647","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","-1","0","1","0","0","0"
"22","3","1","1","62","4","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","22","31","0","0","0","0","0.032258064516129","0.23809523809524","0","0","1","0","0","0.010752688172043","0","0","0","0","0","1","0","0","1","-1","1","1","0","0","0"
"23","2","0","3","46","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","9","28","0","0","0","0","0.033175355450237","0.04","0","0","0","0","0","0.27962085308057","0","0","0","0","0","1","0","0","1","-1","0","1","-1","1","0"
"24","2","0","1","55","5","0","0","0","0","0","0","0","0","6","1","0","0","0","0","0","10","36","0","0","0","0","0","0.11304347826087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0"
"25","1","0","2","62","7","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","16","37","0","0","0","0","0.046153846153846","0.045454545454545","0","0","0","0","0","0.015384615384615","0","0","0","0","0","1","0","0","1","-1","-1","1","0","1","0"
"26","1","0","1","64","7","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","16","39","0","0","0","0","0.08695652173913","0.081081081081081","0","0","0","0","0","0.094202898550725","0","0","0","0","0","1","0","0","1","0","1","1","0","1","0"
"27","1","0","2","46","2","0","0","0","0","0","0","0","0","9","1","0","0","0","0","0","17","20","0","0","0","0","0","0.008695652173913","0","0","0","0","0","0.6","0","0","0","0","1","1","0","0","1","0","1","0","0","1","0"
"28","2","0","2","46","3","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","6","31","0","0","0","1","0.010526315789474","0.073529411764706","0","0","0","0","0","0.021052631578947","0","1","0","0","0","0","0","0","1","-1","1","1","1","1","0"
"29","1","0","0","18","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","9","0","0","0","0","1","0.064516129032258","0.018348623853211","0","0","1","0","0","0.043010752688172","0","0","0","0","1","1","0","1","0","0","-1","1","-1","1","0"
"30","1","0","2","45","3","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","8","28","0","0","0","1","0.35294117647059","0.020833333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-1","0","-1","1","0"
"31","3","1","1","47","4","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","12","26","0","0","0","1","0.19047619047619","0.071428571428571","0","0","0","0","0","0.071428571428571","0","0","0","0","0","0","0","0","1","0","-1","0","-1","1","0"
"32","2","0","1","27","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","9","9","0","0","0","0","0.038709677419355","0.5531914893617","0","0","0","0","0","0.025806451612903","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0"
"33","1","0","0","26","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","17","0","0","0","0","1","0","0.04","0","0","0","0","0","0.025806451612903","0","0","0","0","0","1","0","0","1","-1","-1","-1","0","0","0"
"34","2","1","2","36","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","15","12","0","0","0","1","0.125","0.14285714285714","0","0","0","0","0","0.033333333333333","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0"
"35","2","1","0","24","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","15","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","-1","-1","1","-1","1","0"
"36","1","0","1","87","11","0","0","0","1","0","1","0","0","9","1","0","0","0","0","0","6","62","10","0","0","0","0.017543859649123","0.11267605633803","0","0","0","0","0","0.070175438596491","0","0","1","1","0","1","0","0","1","-1","1","1","0","1","0"
"37","1","0","0","19","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","10","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","-1","-1","1","-1","1","0"
"38","1","0","2","30","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","10","11","0","0","0","0","0.043478260869565","0","0","0","1","0","0","0.08695652173913","0","0","0","0","0","1","0","0","1","-1","1","1","0","1","0"
"39","2","0","2","60","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","7","44","0","0","0","0","0.22222222222222","0.019230769230769","0","0","0","0","0","0.055555555555556","0","0","0","0","0","0","0","0","1","-1","1","1","0","0","0"
"40","1","0","0","19","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","10","10","0","0","0","0","0","0.61904761904762","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","-1","1","0","1","0"
"41","1","0","2","47","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","16","22","0","0","0","0","0.26436781609195","0.1304347826087","0","0","0","0","0","0.082352941176471","0","0","0","0","1","0","0","0","1","-1","-1","1","0","0","0"
"42","1","0","2","53","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","12","32","0","0","0","0","0.17647058823529","0.27027027027027","1","0","0","0","0","0.11764705882353","0","0","0","0","0","0","0","0","1","-1","1","-1","0","1","0"
"43","1","0","2","91","9","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","12","70","0","0","0","0","0","0.11152416356877","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","-1","0","-1","0","1","0"
"44","1","0","2","75","9","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","16","50","0","0","0","0","0.11111111111111","0.089108910891089","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0"
"45","1","0","0","17","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","8","0","0","0","0","0","0.054545454545455","0.022988505747126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0"
"46","2","0","2","37","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","6","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","-1","1","-1","0","1","0"
"47","1","0","1","44","2","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","13","22","0","0","0","0","0.012738853503185","0.14634146341463","0","0","1","0","0","0.063694267515924","0","0","0","0","0","1","0","0","1","-1","-1","1","0","0","0"
"48","2","0","2","36","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","16","11","0","0","0","1","0.021390374331551","0.03125","0","0","1","0","0","0.064171122994652","0","0","0","0","0","0","0","0","1","-1","-1","1","0","1","0"
"49","1","0","0","18","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","-1","1","0","0","0"
"50","2","0","0","19","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","10","0","0","0","0","1","0.054347826086957","0.0089285714285714","0","0","0","0","0","0.054347826086957","0","0","0","0","1","0","0","0","1","-1","0","0","0","0","0"
"51","6","0","1","72","1","0","0","0","1","1","1","1","0","3","1","1","0","0","0","0","29","12","24","0","0","1","0.00000000","0.000000000","0","0","0","0","0","0.000000000","1","0","0","0","0","0","0","0","1","0","1","1","-1","-1","1"
"52","3","0","5","112","0","0","0","0","0","2","7","6","1","16","1","0","0","0","0","0","15","24","74","0","0","0","0.66666666666667","0.68421052631579","0","0","0","0","0","0.33333333333333","1","1","0","0","0","0","0","0","-1","-1","1","1","1","-1","1"
"53","4","3","2","212","3","0","0","0","1","0","1","1","0","17","1","0","0","1","0","0","30","13","160","0","1","1","0.00000000","0.92307692307692","1","1","0","0","0","0.000000000","1","0","0","0","0","1","0","0","1","1","-1","1","1","-1","1"
"54","4","3","1","50","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","26","15","0","0","0","0","0.83333333333333","0.23529411764706","0","1","1","0","0","0.055555555555556","1","0","0","0","0","1","0","0","1","1","-1","1","1","-1","1"
"55","2","1","0","45","3","3","0","0","0","0","0","0","0","12","1","0","0","1","0","0","33","0","0","0","0","0","0.000000000","0.37931034482759","0","1","1","1","0","0.000000000","1","0","0","0","0","1","0","0","1","0","-1","1","-1","-1","1"
"56","1","0","0","32","2","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","23","0","0","0","0","0","0.000000000","1","1","1","1","0","0","0.000000000","0","0","0","0","0","0","0","0","1","1","1","1","-1","-1","1"
"57","4","0","4","73","0","0","0","0","0","0","0","0","0","13","1","1","0","0","0","0","14","50","0","0","2","0","0.5","0.000000000","1","1","0","0","0","0.5","1","0","0","0","0","0","0","0","1","1","1","1","-1","1","1"
"58","7","0","3","75","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","16","47","0","1","0","1","0.000000000","0.29090909090909","1","1","0","0","0","0.000000000","0","0","0","1","0","1","0","0","1","1","1","1","0","-1","1"
"59","4","1","5","50","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","17","19","9","0","0","0","0.000000000","0.000000000","0","1","0","1","0","0.000000000","1","0","0","0","0","1","0","0","1","1","-1","0","-1","-1","1"
"60","2","1","2","43","1","1","0","0","0","0","0","0","0","3","1","0","0","1","0","0","22","12","0","0","0","0","0.000000000","0.000000000","1","1","0","0","0","0.000000000","0","0","0","0","0","1","0","0","1","1","1","1","0","-1","1"
"61","5","1","0","73","1","1","0","0","0","0","1","0","0","5","1","0","0","1","0","0","32","0","32","0","0","1","0.16666666666667","1","0","1","0","0","0","0.83333333333333","0","0","0","0","0","1","0","0","1","0","1","1","0","-1","1"
"62","4","0","0","70","0","0","0","0","1","0","2","1","0","4","1","0","0","0","0","0","19","0","42","0","0","0","0.30769230769231","0.051282051282051","0","1","1","0","1","0.61538461538462","1","0","0","0","0","1","0","0","1","1","-1","1","1","-1","1"
"63","1","0","0","36","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","27","0","0","0","0","0","0.00000000","1","0","1","0","0","0","0.000000000","1","0","0","0","0","1","0","0","1","1","-1","1","1","-1","1"
"64","6","2","3","65","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","26","25","5","0","0","0","0.00000000","0.037037037037037","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1"
"65","1","0","0","34","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","25","0","0","0","0","0","0.00000000","0.000000000","1","1","1","0","1","0.000000000","0","0","0","0","0","1","0","0","1","0","1","-1","1","-1","1"
"66","1","0","0","29","2","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","20","0","0","0","0","0","0.00000000","0.29166666666667","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1"
"67","1","0","1","45","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","13","23","0","1","0","0.00000000","0.37931034482759","0","1","0","0","0","0.000000000","1","0","0","0","0","0","0","0","1","1","-1","1","-1","-1","1"
"68","1","0","2","44","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","25","10","0","0","0","0","0.00000000","0.000000000","1","1","0","0","0","0.000000000","1","0","0","0","0","1","0","0","1","1","-1","1","-1","-1","1"
"69","4","0","0","69","0","0","0","0","2","0","2","1","0","1","1","0","0","0","0","0","8","0","52","0","0","0","0.54901960784314","0.33505154639175","0","1","1","0","0","0.17647058823529","0","0","0","0","0","0","0","0","1","-1","1","1","1","1","1"
"70","2","1","0","40","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","31","0","0","0","0","0","0.00000000","1","0","1","1","0","0","0.000000000","1","0","0","0","0","0","0","0","1","0","1","1","-1","-1","1"
"71","6","2","2","53","2","2","0","0","0","0","0","0","0","11","1","0","0","0","0","0","34","10","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1"
"72","1","0","2","42","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","11","22","0","0","0","0","0","0.32530120481928","0","0","1","0","0","0.058333333333333","1","0","0","0","0","0","0","0","1","0","1","1","-1","-1","1"
"73","3","0","1","96","0","0","0","0","0","6","2","1","0","11","1","0","0","0","0","0","7","0","80","0","0","0","1","0.5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","1","-1","-1","1"
"74","1","0","1","26","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","15","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","-1","1","1","-1","1"
"75","2","1","0","37","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","28","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","1","-1","-1","1"
"76","4","0","5","67","1","1","0","0","0","0","0","0","0","9","1","0","0","0","1","0","19","39","0","0","0","0","0.71428571428571","0.38461538461538","0","0","0","0","0","0.28571428571429","0","0","0","0","0","0","0","0","1","1","1","1","1","0","1"
"77","2","0","3","45","2","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","20","16","0","0","0","0","0","0.33333333333333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","-1","1","1"
"78","3","1","1","103","0","0","0","0","0","0","3","2","0","31","1","1","0","0","0","0","22","11","61","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","-1","1","1"
"79","5","3","3","98","1","1","0","0","0","0","0","0","0","23","1","0","0","0","0","0","50","39","0","0","1","0","0.50561797752809","0.26153846153846","1","0","0","0","0","0.1685393258427","1","0","0","0","0","0","0","0","1","1","1","1","-1","1","1"
"80","1","0","0","25","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","16","0","0","0","0","0","0","0.42857142857143","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","-1","1","-1","-1","1"
"81","2","1","0","25","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","16","0","0","0","0","0","0","0.095238095238095","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","-1","1","1"
"82","2","1","2","50","1","1","0","0","0","0","0","0","0","7","0","0","0","0","0","0","31","10","0","0","0","0","0.12","0.085365853658537","0","1","1","0","1","0.0066666666666667","0","0","0","0","0","1","0","0","1","-1","1","1","0","-1","1"
"83","2","0","2","44","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","15","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","-1","1","1","-1","-1","1"
"84","2","1","0","31","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","22","0","0","0","0","0","0.53333333333333","0.12857142857143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","-1","1","0","-1","1"
"85","2","1","0","33","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","24","0","0","0","0","0","0.81481481481481","0","0","0","0","0","0","0.037037037037037","1","0","0","0","0","0","0","0","1","1","-1","1","-1","-1","1"
"86","2","1","0","32","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","23","0","0","0","0","0","0.17094017094017","0.83333333333333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","-1","1","-1","-1","1"
"87","1","0","0","19","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","-1","0","1","1"
"88","1","0","0","29","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-1","1","0","1","1","1"
"89","1","0","0","28","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","19","0","0","0","0","0","0","0.5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","-1","0","-1","-1","1"
"90","1","0","0","31","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","22","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-1","1","-1","1","1"
"91","1","0","0","27","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","18","0","0","0","0","0","0","0.5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","-1","-1","1"
"92","4","0","1","58","3","3","0","0","0","0","0","0","0","9","1","0","0","0","0","0","37","12","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","-1","1","-1","-1","1"
"93","2","0","3","45","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","19","17","0","0","0","0","0","0.33333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","-1","1"
"94","3","0","1","33","0","0","0","0","0","0","0","0","0","10","0","0","1","0","0","0","13","11","0","0","0","0","0.76824034334764","0.65576102418208","0","0","1","0","0","0.23605150214592","1","0","0","0","0","0","0","0","1","-1","1","1","1","1","1"
"95","6","2","1","70","0","0","0","0","2","2","1","1","0","3","1","0","0","0","0","0","23","0","38","0","0","0","0.018181818181818","0.097560975609756","0","0","0","0","0","0.027272727272727","1","0","0","0","0","1","1","0","1","0","-1","1","-1","-1","1"
"96","1","0","0","23","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","14","0","0","0","1","0","0.045454545454545","0.24822695035461","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","-1","1"
"97","5","1","2","73","0","0","0","0","0","0","1","0","0","23","1","0","0","0","0","0","22","22","20","0","0","0","0.027777777777778","0.28888888888889","0","0","1","0","0","0.125","1","0","0","0","0","0","0","0","1","-1","1","0","-1","-1","1"
"98","1","0","0","28","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","19","0","0","0","0","0","0.21428571428571","0.047619047619048","0","0","0","0","0","0.64285714285714","1","0","0","0","0","0","0","0","1","1","1","1","-1","-1","1"
"99","1","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","1","0.10526315789474","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","1"
"100","3","0","2","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","17","0","0","0","0","0.47222222222222","0","1","0","1","0","0","0.20833333333333","0","0","0","0","0","0","0","0","1","0","1","1","1","-1","1"
